time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.427293350856857e-09,1.8337804721280554e-07,9.999895704091198,0.00021585521624878368,1.4169721927359546e-05,0.0,-9.319779758806628e-07,1.6185708039812278e-05,-0.0034765357831373902,0.009965077466119762,0.000704350862246329,0.0,402.6567703849761,402.72047331196956,402.33109441261166,403.23216392667763
0.12000000000000001,-3.885752395578088e-07,7.544461396575842e-06,10.000443947207874,0.0011861914616133618,6.283022666304511,0.0,-6.715220192037771e-06,0.00030252332540965486,0.02175090791488686,0.026349782024762687,-0.01148851623765013,0.0,412.41372892426295,411.33563512608345,412.39237834251026,413.83687251987027
0.18,5.796374652121964e-06,6.691770330720471e-05,10.010797805046728,0.003680181128927096,6.283008240654718,0.0,0.00025098856455801856,0.0019589006656135187,0.3233404186922853,0.061624861006057394,0.015972539399071742,0.0,495.11991938683747,497.13582867661626,496.1187546480776,498.70220363562726
0.23999999999999996,2.094306746720061e-05,0.0002848007641578221,10.035461323940417,0.0076394062430438225,0.0006122565812738401,0.0,0.00015421596065107182,0.005738202577048208,0.4987139836655066,0.07352711284951509,0.006823689834273422,0.0,460.9266604794054,460.2030643852676,459.62722428685976,460.57242341728795
0.3,1.672127716919931e-05,0.0007956754711797153,10.067427499782804,0.011686400631241156,0.0007573817515833525,0.0,-0.0003237490448527809,0.011706183682234854,0.5667896310865167,0.05111834662497779,-0.008297084745810791,0.0,427.3563017985816,426.06566621981904,428.1071483055035,426.1999427759175
0.36000000000000004,-1.8232021505842565e-05,0.0017861035429522644,10.107219787865093,0.015294597131447318,0.00016602530485521072,0.0,-0.0007784859918080494,0.021698009026837013,0.759506370420123,0.07385766897201114,-0.013171690925285516,0.0,466.404913961786,466.0242296214696,464.4323712437578,466.21447887295534
0.4200000000000001,-6.525185126001838e-05,0.003415541820996749,10.155462392153833,0.01953406466077201,6.282331695884887,0.0,-0.0006993707518811416,0.03305166876877758,0.8485106674349123,0.06333994728449807,-0.02601179495341805,0.0,434.42825400345794,433.3504726902868,434.61587443145004,433.73749191933
0.48000000000000015,-8.304244750011587e-05,0.005843800188988298,10.210711555591239,0.023269521145947714,6.281449255102437,0.0,0.00023202203818426946,0.04829713722349751,0.9930044030386828,0.06000105536987872,0.001563751479755432,0.0,449.862391388411,452.0894929514382,452.34154495071687,452.07534106521615
0.5400000000000001,-3.69942468688106e-05,0.009196629777249152,10.271626639223317,0.027196657172861904,6.282016211491612,0.0,0.0012686561406682437,0.06381738429773133,1.0374497513727903,0.0745789698260701,0.02180595439427027,0.0,418.1488218560768,419.9082204908507,420.29923444213574,421.56400752258935
0.6000000000000002,5.7726867724510256e-05,0.01358709621536585,10.336236731525968,0.03191316032575919,8.282519765856478e-05,0.0,0.0017619871201496615,0.08298449427253002,1.1161324197288571,0.08564268808797051,0.018914656421950837,0.0,430.84152341381173,430.5970343491308,431.3562635846219,432.2945314326267
0.6600000000000003,0.0001580751419319115,0.019176822652614965,10.404106401525867,0.037571193838953576,0.0009294589661541508,0.0,0.001489973302374747,0.10383682967845533,1.14614228114944,0.10759103608567111,0.0021647123340789573,0.0,416.98167825239136,415.51593785693495,413.77564694477593,415.711174005025
0.7200000000000003,0.00022893740658026064,0.026160676060402847,10.474653176724539,0.043957311023628876,0.0010441537140524204,0.0,0.0008604133280226366,0.1295717011969914,1.2053300311327877,0.10401953689844258,0.001400407807340679,0.0,425.16996270110985,425.1044419592749,425.5373671883174,425.24204723859805
0.7800000000000004,0.0002591080188453913,0.03484157835123237,10.54940524797083,0.05003337118416429,0.0012837178582332243,0.0,0.00012886299523272153,0.16039848705374984,1.286287382135495,0.09510677316512973,0.008729978429785255,0.0,432.2589576674404,432.87605193286197,432.8441210366975,432.1026344815928
0.8400000000000004,0.00023803948901465874,0.04553266504467854,10.629799456268108,0.055904245141767284,0.001484769831055388,0.0,-0.0008715440919900858,0.19656060837344572,1.3933606595437134,0.10282917620443306,-0.010484878143115998,0.0,442.30755281505947,440.72237814425756,440.3665008637113,441.0130300337273
0.9000000000000005,0.00015937856526530579,0.05842668799569018,10.715022211367492,0.062073035251458464,0.0007648879021244781,0.0,-0.0016862618637611124,0.23382205637361186,1.4472930992810062,0.1027811604933779,-0.015210368473928133,0.0,424.37339204583196,423.96772752492313,424.55725530803454,424.5628627625739
0.9600000000000005,4.741947435315784e-05,0.07360614993648847,10.80238396575591,0.06838563212687276,6.282883946005333,0.0,-0.0019571932479830563,0.27271714150664855,1.4647027759297029,0.10966834459695224,-0.02345820889232241,0.0,412.6321233459363,411.9034624203531,412.31845011646857,412.9369837998871
1.0200000000000005,-5.8913323515112774e-05,0.09133537594284415,10.892224267545366,0.07477785606645782,6.281144267658249,0.0,-0.0014377374616621373,0.3188773619749464,1.5298381046500256,0.09940207337687712,-0.043368690800506246,0.0,428.42775608759194,426.7313059249441,429.680977836838,428.8201804105788
1.0800000000000005,-8.773363920143417e-05,0.11218987019161758,10.989029174403003,0.0805696080407543,6.2784043583137965,0.0,0.0007756587368232802,0.37690941535430444,1.696698520432323,0.09006109350792271,-0.05070507235431493,0.0,460.83417829758093,460.25280184532494,461.07032127334327,460.33937796663986
1.1400000000000006,5.760465347476123e-05,0.13630861188418478,11.091586578011379,0.08695256763795811,6.275065839613113,0.0,0.004357446032837465,0.4275872852336057,1.7217885932908685,0.1273919545722311,-0.06800508704915544,0.0,416.5291340976015,415.0110897993744,414.87731761422407,418.15192916363895
